Sample	Segment	Distance	Path
ERR4552885	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552885/MSA_PA.fa
ERR4552886	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552886/MSA_PA.fa
ERR4552886	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552886/MSA_PB2.fa
ERR4552887	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552887/MSA_MP.fa
ERR4552887	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552887/MSA_NA.fa
ERR4552887	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552887/MSA_NS.fa
ERR4552887	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552887/MSA_PA.fa
ERR4552887	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552887/MSA_PB2.fa
ERR4552888	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552888/MSA_NS.fa
ERR4552888	PA	7	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552888/MSA_PA.fa
ERR4552888	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552888/MSA_PB2.fa
ERR4552889	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552889/MSA_NS.fa
ERR4552889	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552889/MSA_PB2.fa
ERR4552952	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552952/MSA_PA.fa
ERR4552953	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552953/MSA_PA.fa
ERR4552955	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552955/MSA_NS.fa
ERR4552955	PA	7	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552955/MSA_PA.fa
ERR4552955	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552955/MSA_PB2.fa
ERR4552957	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552957/MSA_PA.fa
ERR4552958	PA	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552958/MSA_PA.fa
ERR4552960	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552960/MSA_PA.fa
ERR4552962	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552962/MSA_PA.fa
ERR4552964	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552964/MSA_PA.fa
ERR4552965	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552965/MSA_PA.fa
ERR4552966	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552966/MSA_NS.fa
ERR4552966	PA	8	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552966/MSA_PA.fa
ERR4552966	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552966/MSA_PB2.fa
ERR4552968	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552968/MSA_PA.fa
ERR4552970	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552970/MSA_PA.fa
ERR4552972	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552972/MSA_MP.fa
ERR4552972	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552972/MSA_NA.fa
ERR4552972	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552972/MSA_PA.fa
ERR4552972	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552972/MSA_PB2.fa
ERR4552973	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552973/MSA_PA.fa
ERR4552976	PA	15	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552976/MSA_PA.fa
ERR4552977	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552977/MSA_PA.fa
ERR4552979	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552979/MSA_PA.fa
ERR4552980	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552980/MSA_MP.fa
ERR4552980	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552980/MSA_NS.fa
ERR4552980	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552980/MSA_PA.fa
ERR4552980	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552980/MSA_PB2.fa
ERR4552982	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552982/MSA_PA.fa
ERR4552982	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552982/MSA_PB1.fa
ERR4552983	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552983/MSA_PA.fa
ERR4552985	PA	6	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552985/MSA_PA.fa
ERR4552985	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552985/MSA_PB2.fa
ERR4552987	PA	9	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552987/MSA_PA.fa
ERR4552989	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552989/MSA_NS.fa
ERR4552989	PA	7	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552989/MSA_PA.fa
ERR4552989	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552989/MSA_PB2.fa
ERR4552990	PA	7	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552990/MSA_PA.fa
ERR4552990	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552990/MSA_PB2.fa
ERR4552992	PA	8	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552992/MSA_PA.fa
ERR4552995	PA	6	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552995/MSA_PA.fa
ERR4553213	PA	6	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553213/MSA_PA.fa
ERR4553215	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553215/MSA_PA.fa
ERR4553217	PA	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553217/MSA_PA.fa
ERR4553218	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553218/MSA_PA.fa
ERR4553218	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553218/MSA_PB1.fa
ERR4553220	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553220/MSA_PA.fa
ERR4553220	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553220/MSA_PB1.fa
ERR4553221	PA	7	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553221/MSA_PA.fa
ERR4553223	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553223/MSA_NA.fa
ERR4553223	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553223/MSA_PA.fa
ERR4553224	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553224/MSA_PA.fa
ERR4553226	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553226/MSA_PA.fa
ERR4553226	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553226/MSA_PB2.fa
ERR4553227	PA	7	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553227/MSA_PA.fa
ERR4553228	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553228/MSA_PA.fa
ERR4553230	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553230/MSA_PA.fa
ERR4553230	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553230/MSA_PB1.fa
ERR4553234	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553234/MSA_MP.fa
ERR4553234	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553234/MSA_NA.fa
ERR4553236	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4553236/MSA_MP.fa
ERR5050914	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050914/MSA_PA.fa
ERR5050914	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050914/MSA_PB1.fa
ERR5050915	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050915/MSA_MP.fa
ERR5050915	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050915/MSA_NS.fa
ERR5050916	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050916/MSA_PA.fa
ERR5050916	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050916/MSA_PB2.fa
ERR5050917	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050917/MSA_MP.fa
ERR5050917	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050917/MSA_NS.fa
ERR5050917	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050917/MSA_PA.fa
ERR5050917	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050917/MSA_PB2.fa
ERR5050918	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050918/MSA_MP.fa
ERR5050918	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050918/MSA_PB1.fa
ERR5050919	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050919/MSA_PB1.fa
ERR5050919	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050919/MSA_PB2.fa
ERR5050921	PA	7	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050921/MSA_PA.fa
ERR5050927	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050927/MSA_PB2.fa
ERR5050928	PA	6	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050928/MSA_PA.fa
ERR5050928	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050928/MSA_PB1.fa
ERR5050928	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050928/MSA_PB2.fa
ERR5050929	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050929/MSA_NP.fa
ERR5050931	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050931/MSA_PB1.fa
ERR5050931	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR5050931/MSA_PB2.fa
SRR10015147	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10015147/MSA_NA.fa
SRR10015147	PA	23	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10015147/MSA_PA.fa
SRR10161178	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10161178/MSA_MP.fa
SRR10436503	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10436503/MSA_PA.fa
SRR10569284	PB1	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10569284/MSA_PB1.fa
SRR10569290	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10569290/MSA_NS.fa
SRR10569290	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10569290/MSA_PA.fa
SRR10569291	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10569291/MSA_NS.fa
SRR10569292	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10569292/MSA_NS.fa
SRR10972179	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR10972179/MSA_PA.fa
SRR11445780	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445780/MSA_NP.fa
SRR11445781	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445781/MSA_PA.fa
SRR11445782	NP	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445782/MSA_NP.fa
SRR11445784	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445784/MSA_PA.fa
SRR11445787	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445787/MSA_NP.fa
SRR11445788	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445788/MSA_PA.fa
SRR11445789	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445789/MSA_PA.fa
SRR11445790	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445790/MSA_NP.fa
SRR11445791	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445791/MSA_PA.fa
SRR11445792	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445792/MSA_PA.fa
SRR11445793	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445793/MSA_NP.fa
SRR11445795	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445795/MSA_PA.fa
SRR11445798	NA	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445798/MSA_NA.fa
SRR11445798	NP	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445798/MSA_NP.fa
SRR11445798	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445798/MSA_PA.fa
SRR11445800	NP	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445800/MSA_NP.fa
SRR11445800	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445800/MSA_PA.fa
SRR11445801	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445801/MSA_NP.fa
SRR11445802	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445802/MSA_NP.fa
SRR11445802	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445802/MSA_PA.fa
SRR11445803	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445803/MSA_PA.fa
SRR11445804	NP	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445804/MSA_NP.fa
SRR11445804	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445804/MSA_PA.fa
SRR11445805	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445805/MSA_NP.fa
SRR11445806	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445806/MSA_NP.fa
SRR11445808	NP	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445808/MSA_NP.fa
SRR11445810	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445810/MSA_PA.fa
SRR11445813	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445813/MSA_PA.fa
SRR11445816	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445816/MSA_NA.fa
SRR11445817	NP	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445817/MSA_NP.fa
SRR11445818	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445818/MSA_NP.fa
SRR11445818	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445818/MSA_PA.fa
SRR11445820	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445820/MSA_NA.fa
SRR11445822	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445822/MSA_NP.fa
SRR11445822	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445822/MSA_PA.fa
SRR11445823	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445823/MSA_NP.fa
SRR11445823	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445823/MSA_PA.fa
SRR11445832	NP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/SRR11445832/MSA_NP.fa
